,date,hive_weight
557,2015-03-27 0:00:00,125.454
558,2015-03-28 0:00:00,123.799
559,2015-03-29 0:00:00,123.712
560,2015-03-30 0:00:00,124.186
561,2015-03-31 0:00:00,124.377
562,2015-04-01 0:00:00,124.561
563,2015-04-02 0:00:00,124.924
564,2015-04-03 0:00:00,125.639
565,2015-04-04 0:00:00,108.11
566,2015-04-05 0:00:00,102.285
567,2015-04-06 0:00:00,103.0
568,2015-04-07 0:00:00,102.846
569,2015-04-08 0:00:00,102.634
570,2015-04-09 0:00:00,102.891
571,2015-04-10 0:00:00,103.225
572,2015-04-11 0:00:00,103.766
573,2015-04-12 0:00:00,104.712
574,2015-04-13 0:00:00,105.717
575,2015-04-14 0:00:00,105.904
576,2015-04-15 0:00:00,106.71
577,2015-04-16 0:00:00,108.432
578,2015-04-17 0:00:00,110.293
579,2015-04-18 0:00:00,111.829
580,2015-04-19 0:00:00,113.114
581,2015-04-20 0:00:00,114.453
582,2015-04-21 0:00:00,115.697
583,2015-04-22 0:00:00,116.6
584,2015-04-23 0:00:00,117.984
585,2015-04-24 0:00:00,118.924
586,2015-04-25 0:00:00,120.045
587,2015-04-26 0:00:00,119.743
588,2015-04-27 0:00:00,121.489
589,2015-04-28 0:00:00,122.712
590,2015-04-29 0:00:00,123.108
591,2015-04-30 0:00:00,124.469
592,2015-05-01 0:00:00,126.648
593,2015-05-02 0:00:00,127.946
594,2015-05-03 0:00:00,128.887
595,2015-05-04 0:00:00,129.267
596,2015-05-05 0:00:00,129.59
597,2015-05-06 0:00:00,130.179
598,2015-05-07 0:00:00,131.008
599,2015-05-08 0:00:00,131.372
600,2015-05-09 0:00:00,132.032
601,2015-05-10 0:00:00,132.549
602,2015-05-11 0:00:00,133.093
603,2015-05-12 0:00:00,132.804
604,2015-05-13 0:00:00,132.79
605,2015-05-14 0:00:00,132.576
606,2015-05-15 0:00:00,132.369
607,2015-05-16 0:00:00,131.909
608,2015-05-17 0:00:00,131.852
609,2015-05-18 0:00:00,131.693
610,2015-05-19 0:00:00,130.989
611,2015-05-20 0:00:00,130.405
612,2015-05-21 0:00:00,129.945
613,2015-05-22 0:00:00,129.574
614,2015-05-23 0:00:00,128.553
615,2015-05-24 0:00:00,127.178
616,2015-05-25 0:00:00,125.978
617,2015-05-26 0:00:00,125.117
618,2015-05-27 0:00:00,124.291
619,2015-05-28 0:00:00,120.902
620,2015-05-29 0:00:00,117.267
621,2015-05-30 0:00:00,115.06
622,2015-05-31 0:00:00,113.103
623,2015-06-01 0:00:00,115.564
624,2015-06-02 0:00:00,116.307
625,2015-06-03 0:00:00,120.086
626,2015-06-04 0:00:00,116.221
627,2015-06-05 0:00:00,109.551
628,2015-06-06 0:00:00,114.377
629,2015-06-07 0:00:00,114.945
630,2015-06-08 0:00:00,115.327
631,2015-06-09 0:00:00,117.864
632,2015-06-10 0:00:00,120.053
633,2015-06-11 0:00:00,120.654
634,2015-06-12 0:00:00,121.247
635,2015-06-13 0:00:00,121.279
636,2015-06-14 0:00:00,122.037
637,2015-06-15 0:00:00,122.718
638,2015-06-16 0:00:00,123.501
639,2015-06-17 0:00:00,122.319
640,2015-06-18 0:00:00,122.047
641,2015-06-19 0:00:00,121.646
642,2015-06-20 0:00:00,121.245
643,2015-06-21 0:00:00,121.476
644,2015-06-22 0:00:00,122.34
645,2015-06-23 0:00:00,122.813
646,2015-06-24 0:00:00,122.641
647,2015-06-25 0:00:00,123.5
648,2015-06-26 0:00:00,124.251
649,2015-06-27 0:00:00,125.379
650,2015-06-28 0:00:00,125.837
651,2015-06-29 0:00:00,125.663
652,2015-06-30 0:00:00,125.023
653,2015-07-01 0:00:00,124.751
654,2015-07-02 0:00:00,124.7
655,2015-07-03 0:00:00,124.9
656,2015-07-04 0:00:00,125.3
657,2015-07-05 0:00:00,127.228
658,2015-07-06 0:00:00,126.644
659,2015-07-07 0:00:00,127.331
660,2015-07-08 0:00:00,127.217
661,2015-07-09 0:00:00,126.23
662,2015-07-10 0:00:00,125.715
663,2015-07-11 0:00:00,126.216
664,2015-07-12 0:00:00,127.204
